Token,Name,Service,Time,Status,Delay Reason
1001,Hari,Mobile Phone Repair / Support,23-09-2026 02:17 PM,Completed,
1002,sravan,Laptop / Computer Support,23-09-2026 02:17 PM,Completed,
1003,pooja,Television Installation / Repair,23-09-2026 02:17 PM,Completed,
1004,ramu,Washing Machine Repair,23-09-2026 02:18 PM,Completed,
1005,charan,Mobile Phone Repair / Support,23-09-2026 02:20 PM,Completed,
1006,swathi,Warranty / Extended Protection Plan,23-09-2026 02:21 PM,Completed,
1007,ramesh,"Billing, Exchange, or Delivery Support",23-09-2026 02:21 PM,Completed,
1008,anusha,Laptop / Computer Support,23-09-2026 02:22 PM,Serving,
1009,krishna,Washing Machine Repair,23-09-2026 02:22 PM,Waiting,
1010,srikanth,Product Demo / Setup Assistance,23-09-2026 02:23 PM,Waiting,
